id,host_id,neighbourhood,latitude,longitude,room_type,price,number_of_reviews,last_review,reviews_per_month,is_duplicate_coordinate,host_count_per_coord,coordinate_type
28551162,215474208,Sathon,13.7249,100.54193,Private room,2632,0,,0.0,0,1,individual
28978209,218418087,Huai Khwang,13.79384,100.57529,Entire home/apt,3500,0,,0.0,0,1,individual
28734101,17480703,Ratchathewi,13.75072,100.52693,Entire home/apt,2815,24,2022-08-12,0.55,0,1,individual
28740957,213505793,Khlong Toei,13.71515,100.59104,Private room,1190,0,,0.0,0,1,individual
28748496,89252726,Khlong Toei,13.70751,100.59735,Private room,1300,0,,0.0,0,1,individual
28749136,89252726,Khlong Toei,13.70741,100.59691,Private room,1300,1,2018-11-25,0.02,0,1,individual
28749687,89252726,Khlong Toei,13.7068,100.59707,Private room,1800,2,2019-11-16,0.04,0,1,individual
28750265,89252726,Khlong Toei,13.70581,100.59705,Private room,1980,0,,0.0,0,1,individual
28978963,60847789,Bang Phlat,13.80855,100.51213,Private room,914,4,2020-01-25,0.08,0,1,individual
28758495,210140238,Sathon,13.7184,100.52615,Entire home/apt,3414,27,2022-12-11,0.52,1,1,multi_listing_same_host
28765122,150411704,Khlong Toei,13.71341,100.58205,Hotel room,350,0,,0.0,0,1,individual
28775171,104122286,Phasi Charoen,13.71121,100.45107,Entire home/apt,1000,32,2020-02-17,0.64,0,1,individual
28560224,164740040,Vadhana,13.74403,100.55418,Private room,700,3,2022-12-17,0.09,0,1,individual
28565139,210140238,Sathon,13.7184,100.52615,Entire home/apt,3414,33,2022-12-13,0.66,1,1,multi_listing_same_host
28993262,132758342,Khlong Toei,13.72628,100.57312,Entire home/apt,1490,56,2022-12-07,1.1,0,1,individual
28993949,132758342,Khlong Toei,13.72699,100.5718,Entire home/apt,1350,64,2022-12-28,1.26,0,1,individual
28995746,2092389,Vadhana,13.74794,100.55265,Entire home/apt,1990,23,2022-12-14,0.46,0,1,individual
28997922,218558560,Khlong Toei,13.70605,100.59542,Entire home/apt,5091,0,,0.0,0,1,individual
28568481,209202475,Bang Na,13.684247,100.6147,Entire home/apt,1090,0,,0.0,0,1,individual
28782410,210977652,Bang Khae,13.70556,100.37911,Private room,1190,0,,0.0,1,1,multi_listing_same_host
28782673,210977652,Bang Khae,13.70556,100.37911,Private room,1150,0,,0.0,1,1,multi_listing_same_host
29007796,103289271,Ratchathewi,13.75247,100.52873,Private room,870,2,2019-01-20,0.04,0,1,individual
29008517,103289271,Ratchathewi,13.75259,100.52884,Private room,1700,0,,0.0,0,1,individual
28792253,217167507,Sathon,13.70634,100.52885,Entire home/apt,680,4,2020-01-09,0.08,0,1,individual
29012648,14391623,Phra Nakhon,13.74755,100.49768,Hotel room,2086,5,2019-07-16,0.1,0,1,individual
29024718,32101291,Phra Nakhon,13.75244,100.50467,Hotel room,1301,5,2022-08-04,0.1,0,1,individual
28799430,113887610,Ratchathewi,13.75778,100.52709,Entire home/apt,693,5,2020-03-05,0.1,0,1,individual
28801994,211585308,Parthum Wan,13.75024,100.51894,Private room,350,0,,0.0,0,1,individual
28803867,133082557,Huai Khwang,13.76095,100.56883,Entire home/apt,1986,55,2022-12-04,1.08,0,1,individual
28805360,133082557,Huai Khwang,13.75912,100.5703,Entire home/apt,2143,58,2022-12-01,1.13,0,1,individual
28573001,215642190,Ratchathewi,13.75728,100.53522,Private room,1599,0,,0.0,0,1,individual
28577138,18234321,Vadhana,13.74599,100.55985,Hotel room,4796,40,2020-08-30,0.78,0,1,individual
28580420,19266319,Phra Khanong,13.69828,100.60854,Entire home/apt,4999,5,2020-02-15,0.11,0,1,individual
28590412,215328104,Vadhana,13.74304,100.55513,Private room,10000,0,,0.0,0,1,individual
28590418,215328104,Vadhana,13.74325,100.55497,Private room,10000,0,,0.0,0,1,individual
28590445,215328104,Khlong Toei,13.74149,100.55364,Private room,10000,0,,0.0,0,1,individual
28590455,215328104,Vadhana,13.74242,100.55542,Private room,10000,0,,0.0,0,1,individual
28590460,215328104,Khlong Toei,13.741,100.55322,Private room,10000,0,,0.0,0,1,individual
28590474,215328104,Vadhana,13.74283,100.55529,Private room,10000,0,,0.0,0,1,individual
28590488,215328104,Vadhana,13.74278,100.5553,Private room,10000,1,2019-04-21,0.02,0,1,individual
28590513,125326958,Phra Khanong,13.69037,100.62782,Private room,2078,0,,0.0,0,1,individual
28592610,215798558,Vadhana,13.7466,100.55318,Entire home/apt,1800,8,2022-10-12,0.16,0,1,individual
29040367,213505793,Vadhana,13.71579,100.59219,Hotel room,2490,1,2019-07-16,0.02,1,1,multi_listing_same_host
29042283,420188,Khlong Toei,13.72927,100.56954,Entire home/apt,2119,91,2022-10-24,1.77,0,1,individual
29042788,218691110,Vadhana,13.7337,100.5849,Private room,1500,1,2018-11-08,0.02,0,1,individual
28594798,49912646,Vadhana,13.73436,100.57377,Entire home/apt,5121,3,2022-12-22,0.06,0,1,individual
28818379,217341248,Thon buri,13.73757,100.49214,Private room,2597,0,,0.0,0,1,individual
28819439,196741252,Phaya Thai,13.78823,100.54384,Private room,1946,2,2018-11-25,0.04,0,1,individual
28819875,196741252,Phaya Thai,13.78837,100.54545,Private room,1946,3,2018-12-30,0.06,0,1,individual
29046174,218895258,Bang Rak,13.72641,100.52797,Entire home/apt,2091,19,2022-11-19,0.37,0,1,individual
28819959,151456980,Bang Na,13.67238,100.60375,Entire home/apt,448,15,2022-05-20,0.3,0,1,individual
28821554,196741252,Phaya Thai,13.78815,100.54394,Private room,2542,0,,0.0,0,1,individual
28821931,196741252,Phaya Thai,13.7881,100.5439,Private room,2691,0,,0.0,0,1,individual
28598078,144766230,Vadhana,13.7161,100.59289,Private room,1589,0,,0.0,0,1,individual
28616305,215970644,Don Mueang,13.91706,100.59258,Private room,450,1,2018-09-28,0.02,0,1,individual
28629395,87704107,Phra Nakhon,13.76196,100.49732,Private room,750,14,2020-01-02,0.27,0,1,individual
28630377,44047968,Phasi Charoen,13.72072,100.45895,Entire home/apt,700,0,,0.0,0,1,individual
28633057,19266319,Phra Khanong,13.69918,100.60845,Entire home/apt,620,33,2021-04-11,0.65,0,1,individual
29052072,87704107,Phra Nakhon,13.76359,100.49907,Private room,750,2,2019-05-02,0.04,0,1,individual
29064296,79247587,Suanluang,13.73469,100.61791,Private room,400,1,2020-10-21,0.04,0,1,individual
28822265,79993194,Chom Thong,13.70167,100.47815,Entire home/apt,595,14,2020-01-30,0.29,0,1,individual
29064524,219020306,Din Daeng,13.75828,100.56403,Hotel room,450,0,,0.0,1,1,multi_listing_same_host
28823403,217364264,Vadhana,13.74598,100.56367,Private room,1600,0,,0.0,0,1,individual
28823469,196741252,Phaya Thai,13.78664,100.54457,Private room,2691,2,2019-01-02,0.04,0,1,individual
28831409,87704107,Phra Nakhon,13.76279,100.4979,Private room,1400,0,,0.0,1,1,multi_listing_same_host
28832006,87704107,Phra Nakhon,13.76331,100.49695,Private room,750,8,2019-10-21,0.16,0,1,individual
28832370,87704107,Phra Nakhon,13.76162,100.49768,Private room,750,16,2020-02-18,0.32,0,1,individual
28834604,3192020,Ratchathewi,13.75708,100.54045,Private room,3809,0,,0.0,0,1,individual
28633537,174931044,Bang Rak,13.72641,100.53249,Entire home/apt,1741,22,2019-12-02,0.45,0,1,individual
28644621,216152357,Bang Rak,13.71821,100.51685,Private room,650,2,2018-10-13,0.04,0,1,individual
28644903,203911167,Ratchathewi,13.75644,100.53049,Shared room,500,0,,0.0,0,1,individual
28644945,203911167,Ratchathewi,13.75613,100.5322,Shared room,500,0,,0.0,0,1,individual
28644974,203911167,Ratchathewi,13.75639,100.5304,Shared room,500,0,,0.0,0,1,individual
28645014,203911167,Ratchathewi,13.75408,100.53055,Shared room,500,0,,0.0,0,1,individual
28645052,203911167,Ratchathewi,13.75485,100.5325,Shared room,500,0,,0.0,0,1,individual
28645088,203911167,Ratchathewi,13.75492,100.53061,Shared room,500,0,,0.0,0,1,individual
28645122,203911167,Ratchathewi,13.75635,100.53088,Shared room,500,0,,0.0,0,1,individual
28645164,203911167,Ratchathewi,13.75593,100.53243,Shared room,500,0,,0.0,0,1,individual
28645217,203911167,Ratchathewi,13.75467,100.53068,Shared room,500,0,,0.0,0,1,individual
29291917,43467538,Ratchathewi,13.75215,100.53909,Private room,1871,0,,0.0,0,1,individual
29292546,47324488,Khlong Toei,13.72475,100.56813,Entire home/apt,1371,49,2022-12-20,0.96,0,1,individual
29292829,106770037,Ratchathewi,13.76187,100.54038,Hotel room,8181,1,2019-01-30,0.02,1,1,multi_listing_same_host
29302145,220681760,Rat Burana,13.68812,100.48618,Entire home/apt,4000,1,2018-10-26,0.02,0,1,individual
29065150,1927968,Sathon,13.72083,100.54726,Entire home/apt,626,54,2022-11-30,1.05,0,1,individual
29070466,194021695,Bang Rak,13.72304,100.51733,Entire home/apt,4900,66,2022-12-13,1.29,0,1,individual
29074257,219081674,Phasi Charoen,13.70856,100.45048,Private room,800,22,2022-11-07,0.43,0,1,individual
29088966,29769376,Phra Nakhon,13.75681,100.50068,Entire home/apt,1628,1,2019-04-02,0.02,0,1,individual
29089447,7454779,Vadhana,13.74718,100.55169,Entire home/apt,1186,27,2022-12-01,0.63,0,1,individual
29090949,1927968,Sathon,13.72083,100.54725,Entire home/apt,750,94,2022-11-29,1.84,0,1,individual
29092247,164740040,Vadhana,13.74417,100.55335,Private room,900,0,,0.0,0,1,individual
29095509,149112551,Sathon,13.70779,100.5276,Entire home/apt,1357,58,2022-11-16,1.13,0,1,individual
29095940,219020306,Din Daeng,13.75828,100.56403,Hotel room,2357,0,,0.0,1,1,multi_listing_same_host
